type,count,name,series,collection
5 x 7 Box Topper Cut Signatures,2,"""Chief"" Jay Strongbow",Legend,1/1
Base,14,"""Dirty"" Dominik Mysterio",Raw,/25
Base Amethyst,14,"""Dirty"" Dominik Mysterio",Raw,/8
Base Emerald,14,"""Dirty"" Dominik Mysterio",Raw,/5
Base Gold,14,"""Dirty"" Dominik Mysterio",Raw,/10
Base Platinum,14,"""Dirty"" Dominik Mysterio",Raw,1/1
Base Ruby,14,"""Dirty"" Dominik Mysterio",Raw,/15
Horizontal Autographed Memorabilia,9,"""Dirty"" Dominik Mysterio",Raw,/25
Horizontal Autographed Memorabilia Amethyst,9,"""Dirty"" Dominik Mysterio",Raw,/8
Horizontal Autographed Memorabilia Bronze FOTL,9,"""Dirty"" Dominik Mysterio",Raw,/3
Horizontal Autographed Memorabilia Emerald,9,"""Dirty"" Dominik Mysterio",Raw,/5
Horizontal Autographed Memorabilia Gold,9,"""Dirty"" Dominik Mysterio",Raw,/10
Horizontal Autographed Memorabilia Platinum,9,"""Dirty"" Dominik Mysterio",Raw,1/1
Horizontal Autographed Memorabilia Ruby,9,"""Dirty"" Dominik Mysterio",Raw,/15
Jumbo Memorabilia,13,"""Dirty"" Dominik Mysterio",Raw,/15
Jumbo Memorabilia Amethyst,13,"""Dirty"" Dominik Mysterio",Raw,/8
Jumbo Memorabilia Emerald,13,"""Dirty"" Dominik Mysterio",Raw,/5
Jumbo Memorabilia Gold,13,"""Dirty"" Dominik Mysterio",Raw,/10
Jumbo Memorabilia Platinum,13,"""Dirty"" Dominik Mysterio",Raw,1/1
Raw Logo Gems,7,"""Dirty"" Dominik Mysterio",Raw,1/1
Signature Prime Materials,5,"""Dirty"" Dominik Mysterio",Raw,/25
Signature Prime Materials Amethyst,5,"""Dirty"" Dominik Mysterio",Raw,/8
Signature Prime Materials Emerald,5,"""Dirty"" Dominik Mysterio",Raw,/5
Signature Prime Materials Gold,5,"""Dirty"" Dominik Mysterio",Raw,/10
Signature Prime Materials Platinum,5,"""Dirty"" Dominik Mysterio",Raw,1/1
Signature Prime Materials Ruby,5,"""Dirty"" Dominik Mysterio",Raw,/15
Flawless Patch Autographs,8,"""Hollywood"" Hulk Hogan",Legend,/25
Flawless Patch Autographs Amethyst,8,"""Hollywood"" Hulk Hogan",Legend,/8
Flawless Patch Autographs Emerald,8,"""Hollywood"" Hulk Hogan",Legend,/5
Flawless Patch Autographs Gold,8,"""Hollywood"" Hulk Hogan",Legend,/10
Flawless Patch Autographs Platinum,8,"""Hollywood"" Hulk Hogan",Legend,1/1
Flawless Dual Memorabilia,14,"""Hollywood"" Hulk Hogan / The Rock",Legend,/15
Flawless Dual Memorabilia Amethyst,14,"""Hollywood"" Hulk Hogan / The Rock",Legend,/8
Base Legends,53,"""Million Dollar Man"" Ted DiBiase",Legend,/25
Base Legends Amethyst,53,"""Million Dollar Man"" Ted DiBiase",Legend,/8
Base Legends Emerald,53,"""Million Dollar Man"" Ted DiBiase",Legend,/5
Base Legends Gold,53,"""Million Dollar Man"" Ted DiBiase",Legend,/10
Base Legends Platinum,53,"""Million Dollar Man"" Ted DiBiase",Legend,1/1
Base Legends Ruby,53,"""Million Dollar Man"" Ted DiBiase",Legend,/15
Flawless Memorabilia,5,"""Million Dollar Man"" Ted DiBiase",Legend,/15
Flawless Memorabilia Amethyst,5,"""Million Dollar Man"" Ted DiBiase",Legend,/6
Flawless Memorabilia Emerald,5,"""Million Dollar Man"" Ted DiBiase",Legend,/3
Flawless Memorabilia Gold,5,"""Million Dollar Man"" Ted DiBiase",Legend,/10
Flawless Memorabilia Platinum,5,"""Million Dollar Man"" Ted DiBiase",Legend,1/1
Flawless Patch Autographs,18,"""Million Dollar Man"" Ted DiBiase",Legend,/25
Flawless Patch Autographs Amethyst,18,"""Million Dollar Man"" Ted DiBiase",Legend,/8
Flawless Patch Autographs Emerald,18,"""Million Dollar Man"" Ted DiBiase",Legend,/5
Flawless Patch Autographs Gold,18,"""Million Dollar Man"" Ted DiBiase",Legend,/10
Flawless Patch Autographs Platinum,18,"""Million Dollar Man"" Ted DiBiase",Legend,1/1
Flawless Patch Autographs Ruby,18,"""Million Dollar Man"" Ted DiBiase",Legend,/15
Flawless Survivor Series Autographs,22,"""Million Dollar Man"" Ted DiBiase",Legend,/15
Flawless Survivor Series Autographs Amethyst,22,"""Million Dollar Man"" Ted DiBiase",Legend,/8
Flawless Survivor Series Autographs Emerald,22,"""Million Dollar Man"" Ted DiBiase",Legend,/5
Flawless Survivor Series Autographs Gold,22,"""Million Dollar Man"" Ted DiBiase",Legend,/10
Flawless Survivor Series Autographs Platinum,22,"""Million Dollar Man"" Ted DiBiase",Legend,1/1
5 x 7 Box Topper Cut Signatures,13,"""Mr. Perfect"" Curt Hennig",Legend,1/1
Base Legends,83,"""Mr. Perfect"" Curt Hennig",Legend,/25
Base Legends Amethyst,83,"""Mr. Perfect"" Curt Hennig",Legend,/8
Base Legends Emerald,83,"""Mr. Perfect"" Curt Hennig",Legend,/5
Base Legends Gold,83,"""Mr. Perfect"" Curt Hennig",Legend,/10
Base Legends Platinum,83,"""Mr. Perfect"" Curt Hennig",Legend,1/1
Base Legends Ruby,83,"""Mr. Perfect"" Curt Hennig",Legend,/15
Base Legends,96,"""Ravishing"" Rick Rude",Legend,/25
Base Legends Amethyst,96,"""Ravishing"" Rick Rude",Legend,/8
Base Legends Emerald,96,"""Ravishing"" Rick Rude",Legend,/5
Base Legends Gold,96,"""Ravishing"" Rick Rude",Legend,/10
Base Legends Platinum,96,"""Ravishing"" Rick Rude",Legend,1/1
Base Legends Ruby,96,"""Ravishing"" Rick Rude",Legend,/15
5 x 7 Box Topper Cut Signatures,3,"""Rowdy"" Roddy Piper",Legend,1/1
Base Legends,69,"""Rowdy"" Roddy Piper",Legend,/25
Base Legends Amethyst,69,"""Rowdy"" Roddy Piper",Legend,/8
Base Legends Emerald,69,"""Rowdy"" Roddy Piper",Legend,/5
Base Legends Gold,69,"""Rowdy"" Roddy Piper",Legend,/10
Base Legends Platinum,69,"""Rowdy"" Roddy Piper",Legend,1/1
Base Legends Ruby,69,"""Rowdy"" Roddy Piper",Legend,/15
Flawless Memorabilia,30,"""Rowdy"" Roddy Piper",Legend,/15
Flawless Memorabilia Amethyst,30,"""Rowdy"" Roddy Piper",Legend,/6
Flawless Memorabilia Emerald,30,"""Rowdy"" Roddy Piper",Legend,/3
Flawless Memorabilia Gold,30,"""Rowdy"" Roddy Piper",Legend,/10
Flawless Memorabilia Platinum,30,"""Rowdy"" Roddy Piper",Legend,1/1
WWE Legends Logo Gems,12,"""Rowdy"" Roddy Piper",Legend,1/1
Base Legends,99,"""Stone Cold"" Steve Austin",Legend,/25
Base Legends Amethyst,99,"""Stone Cold"" Steve Austin",Legend,/8
Base Legends Emerald,99,"""Stone Cold"" Steve Austin",Legend,/5
Base Legends Gold,99,"""Stone Cold"" Steve Austin",Legend,/10
Base Legends Platinum,99,"""Stone Cold"" Steve Austin",Legend,1/1
Base Legends Ruby,99,"""Stone Cold"" Steve Austin",Legend,/15
Flawless Achievements,8,"""Stone Cold"" Steve Austin",Legend,/25
Flawless Achievements Amethyst,8,"""Stone Cold"" Steve Austin",Legend,/8
Flawless Achievements Emerald,8,"""Stone Cold"" Steve Austin",Legend,/5
Flawless Achievements Gold,8,"""Stone Cold"" Steve Austin",Legend,/10
Flawless Achievements Platinum,8,"""Stone Cold"" Steve Austin",Legend,1/1
Flawless Achievements Ruby,8,"""Stone Cold"" Steve Austin",Legend,/15
Flawless Achievements Sapphire,8,"""Stone Cold"" Steve Austin",Legend,/20
Flawless Royal Rumble Autographs,4,"""Stone Cold"" Steve Austin",Legend,/25
Flawless Royal Rumble Autographs Amethyst,4,"""Stone Cold"" Steve Austin",Legend,/8
Flawless Royal Rumble Autographs Emerald,4,"""Stone Cold"" Steve Austin",Legend,/5
Flawless Royal Rumble Autographs Gold,4,"""Stone Cold"" Steve Austin",Legend,/10
Flawless Royal Rumble Autographs Platinum,4,"""Stone Cold"" Steve Austin",Legend,1/1
Flawless Royal Rumble Autographs Ruby,4,"""Stone Cold"" Steve Austin",Legend,/15
Flawless Royal Rumble Autographs Sapphire,4,"""Stone Cold"" Steve Austin",Legend,/20
Flawless SummerSlam Autographs,5,"""Stone Cold"" Steve Austin",Legend,/25
Flawless SummerSlam Autographs Amethyst,5,"""Stone Cold"" Steve Austin",Legend,/8
Flawless SummerSlam Autographs Emerald,5,"""Stone Cold"" Steve Austin",Legend,/5
Flawless SummerSlam Autographs Gold,5,"""Stone Cold"" Steve Austin",Legend,/10
Flawless SummerSlam Autographs Platinum,5,"""Stone Cold"" Steve Austin",Legend,1/1
Flawless SummerSlam Autographs Ruby,5,"""Stone Cold"" Steve Austin",Legend,/15
Flawless SummerSlam Autographs Sapphire,5,"""Stone Cold"" Steve Austin",Legend,/20
Flawless WrestleMania Autographs,9,"""Stone Cold"" Steve Austin",Legend,/25
Flawless WrestleMania Autographs Amethyst,9,"""Stone Cold"" Steve Austin",Legend,/8
Flawless WrestleMania Autographs Emerald,9,"""Stone Cold"" Steve Austin",Legend,/5
Flawless WrestleMania Autographs Gold,9,"""Stone Cold"" Steve Austin",Legend,/10
Flawless WrestleMania Autographs Platinum,9,"""Stone Cold"" Steve Austin",Legend,1/1
Flawless WrestleMania Autographs Ruby,9,"""Stone Cold"" Steve Austin",Legend,/15
Flawless WrestleMania Autographs Sapphire,9,"""Stone Cold"" Steve Austin",Legend,/20
Star Swatch Signatures,8,"""Stone Cold"" Steve Austin",Legend,/25
Star Swatch Signatures Amethyst,8,"""Stone Cold"" Steve Austin",Legend,/8
Star Swatch Signatures Emerald,8,"""Stone Cold"" Steve Austin",Legend,/5
Star Swatch Signatures Gold,8,"""Stone Cold"" Steve Austin",Legend,/10
Star Swatch Signatures Platinum,8,"""Stone Cold"" Steve Austin",Legend,1/1
Star Swatch Signatures Ruby,8,"""Stone Cold"" Steve Austin",Legend,/15
Superstar Logo Gems,10,"""Stone Cold"" Steve Austin",Legend,1/1
WWE Legends Logo Gems,5,"""Stone Cold"" Steve Austin",Legend,1/1
WWE Logo Gems,12,"""Stone Cold"" Steve Austin",Legend,1/1
Flawless Dual Memorabilia Emerald,2,"""Stone Cold"" Steve Austin / The Rock",Legend,/5
Flawless Dual Memorabilia Platinum,2,"""Stone Cold"" Steve Austin / The Rock",Legend,1/1
5 x 7 Box Topper Cut Signatures,4,"""Superstar"" Billy Graham",Legend,1/1
Base Legends,78,"""Superstar"" Billy Graham",Legend,/25
Base Legends Amethyst,78,"""Superstar"" Billy Graham",Legend,/8
Base Legends Emerald,78,"""Superstar"" Billy Graham",Legend,/5
Base Legends Gold,78,"""Superstar"" Billy Graham",Legend,/10
Base Legends Platinum,78,"""Superstar"" Billy Graham",Legend,1/1
Base Legends Ruby,78,"""Superstar"" Billy Graham",Legend,/15
Base,47,"""The American Nightmare"" Cody Rhodes",SmackDown,/25
Base Amethyst,47,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Base Emerald,47,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Base Gold,47,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Base Platinum,47,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Base Ruby,47,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Achievements,18,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Achievements Amethyst,18,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless Achievements Emerald,18,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless Achievements Gold,18,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless Achievements Platinum,18,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless Finishing Moves,30,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Finishing Moves Amethyst,30,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless Finishing Moves Emerald,30,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless Finishing Moves Gold,30,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless Finishing Moves Platinum,30,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless Memorabilia,16,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Memorabilia Amethyst,16,"""The American Nightmare"" Cody Rhodes",SmackDown,/6
Flawless Memorabilia Emerald,16,"""The American Nightmare"" Cody Rhodes",SmackDown,/3
Flawless Memorabilia Gold,16,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless Memorabilia Platinum,16,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless Performances,8,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Performances Amethyst,8,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless Performances Emerald,8,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless Performances Gold,8,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless Performances Platinum,8,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless Royal Rumble Autographs,14,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Royal Rumble Autographs,24,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless Royal Rumble Autographs Amethyst,14,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless Royal Rumble Autographs Amethyst,24,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless Royal Rumble Autographs Emerald,14,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless Royal Rumble Autographs Emerald,24,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless Royal Rumble Autographs Gold,14,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless Royal Rumble Autographs Gold,24,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless Royal Rumble Autographs Platinum,14,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless Royal Rumble Autographs Platinum,24,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless SummerSlam Autographs,25,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless SummerSlam Autographs Amethyst,25,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless SummerSlam Autographs Emerald,25,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless SummerSlam Autographs Gold,25,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless SummerSlam Autographs Platinum,25,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Flawless WrestleMania Autographs,19,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Flawless WrestleMania Autographs Amethyst,19,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Flawless WrestleMania Autographs Emerald,19,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Flawless WrestleMania Autographs Gold,19,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Flawless WrestleMania Autographs Platinum,19,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Jumbo Memorabilia,4,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Jumbo Memorabilia Amethyst,4,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Jumbo Memorabilia Emerald,4,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Jumbo Memorabilia Gold,4,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Jumbo Memorabilia Platinum,4,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Signature Prime Materials,15,"""The American Nightmare"" Cody Rhodes",SmackDown,/25
Signature Prime Materials Amethyst,15,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Signature Prime Materials Emerald,15,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Signature Prime Materials Gold,15,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Signature Prime Materials Platinum,15,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Signature Prime Materials Ruby,15,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Smackdown Logo Gems,4,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Star Swatch Signatures,1,"""The American Nightmare"" Cody Rhodes",SmackDown,/25
Star Swatch Signatures Amethyst,1,"""The American Nightmare"" Cody Rhodes",SmackDown,/8
Star Swatch Signatures Emerald,1,"""The American Nightmare"" Cody Rhodes",SmackDown,/5
Star Swatch Signatures Gold,1,"""The American Nightmare"" Cody Rhodes",SmackDown,/10
Star Swatch Signatures Platinum,1,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
Star Swatch Signatures Ruby,1,"""The American Nightmare"" Cody Rhodes",SmackDown,/15
Superstar Logo Gems,5,"""The American Nightmare"" Cody Rhodes",SmackDown,1/1
WWE Logo Gems,7,"""The American Nightmare"" Cody Rhodes",WWE,1/1
Flawless Dual Memorabilia Platinum,6,"""The American Nightmare"" Cody Rhodes / Dusty Rhodes",SmackDown / Legend,1/1
Base Legends,65,"""The Fiend"" Bray Wyatt",WWE,/25
Base Legends Amethyst,65,"""The Fiend"" Bray Wyatt",WWE,/8
Base Legends Emerald,65,"""The Fiend"" Bray Wyatt",WWE,/5
Base Legends Gold,65,"""The Fiend"" Bray Wyatt",WWE,/10
Base Legends Platinum,65,"""The Fiend"" Bray Wyatt",WWE,1/1
Base Legends Ruby,65,"""The Fiend"" Bray Wyatt",WWE,/15
WWE Logo Gems,5,"""The Fiend"" Bray Wyatt",WWE,1/1
Base,8,AJ Styles,SmackDown,/25
Base Amethyst,8,AJ Styles,SmackDown,/8
Base Emerald,8,AJ Styles,SmackDown,/5
Base Gold,8,AJ Styles,SmackDown,/10
Base Platinum,8,AJ Styles,SmackDown,1/1
Base Ruby,8,AJ Styles,SmackDown,/15
Flawless Achievements,28,AJ Styles,SmackDown,/25
Flawless Achievements Amethyst,28,AJ Styles,SmackDown,/8
Flawless Achievements Emerald,28,AJ Styles,SmackDown,/5
Flawless Achievements Gold,28,AJ Styles,SmackDown,/10
Flawless Achievements Platinum,28,AJ Styles,SmackDown,1/1
Flawless Achievements Ruby,28,AJ Styles,SmackDown,/15
Flawless Achievements Sapphire,28,AJ Styles,SmackDown,/20
Flawless Finishing Moves,36,AJ Styles,SmackDown,/25
Flawless Finishing Moves Amethyst,36,AJ Styles,SmackDown,/8
Flawless Finishing Moves Emerald,36,AJ Styles,SmackDown,/5
Flawless Finishing Moves Gold,36,AJ Styles,SmackDown,/10
Flawless Finishing Moves Platinum,36,AJ Styles,SmackDown,1/1
Flawless Finishing Moves Ruby,36,AJ Styles,SmackDown,/15
Flawless Finishing Moves Sapphire,36,AJ Styles,SmackDown,/20
Flawless SummerSlam Autographs,7,AJ Styles,SmackDown,/25
Flawless SummerSlam Autographs Amethyst,7,AJ Styles,SmackDown,/8
Flawless SummerSlam Autographs Emerald,7,AJ Styles,SmackDown,/5
Flawless SummerSlam Autographs Gold,7,AJ Styles,SmackDown,/10
Flawless SummerSlam Autographs Platinum,7,AJ Styles,SmackDown,1/1
Flawless SummerSlam Autographs Ruby,7,AJ Styles,SmackDown,/15
Flawless SummerSlam Autographs Sapphire,7,AJ Styles,SmackDown,/20
Flawless WrestleMania Autographs,1,AJ Styles,SmackDown,/25
Flawless WrestleMania Autographs Amethyst,1,AJ Styles,SmackDown,/8
Flawless WrestleMania Autographs Emerald,1,AJ Styles,SmackDown,/5
Flawless WrestleMania Autographs Gold,1,AJ Styles,SmackDown,/10
Flawless WrestleMania Autographs Platinum,1,AJ Styles,SmackDown,1/1
Flawless WrestleMania Autographs Ruby,1,AJ Styles,SmackDown,/15
Flawless WrestleMania Autographs Sapphire,1,AJ Styles,SmackDown,/20
Jumbo Memorabilia,14,AJ Styles,SmackDown,/15
Jumbo Memorabilia Amethyst,14,AJ Styles,SmackDown,/8
Jumbo Memorabilia Emerald,14,AJ Styles,SmackDown,/5
Jumbo Memorabilia Gold,14,AJ Styles,SmackDown,/10
Jumbo Memorabilia Platinum,14,AJ Styles,SmackDown,1/1
Smackdown Logo Gems,1,AJ Styles,SmackDown,1/1
Vertical Autographed Memorabilia,14,AJ Styles,SmackDown,/25
Vertical Autographed Memorabilia Amethyst,14,AJ Styles,SmackDown,/8
Vertical Autographed Memorabilia Bronze FOTL,14,AJ Styles,SmackDown,/3
Vertical Autographed Memorabilia Emerald,14,AJ Styles,SmackDown,/5
Vertical Autographed Memorabilia Gold,14,AJ Styles,SmackDown,/10
Vertical Autographed Memorabilia Platinum,14,AJ Styles,SmackDown,1/1
Vertical Autographed Memorabilia Ruby,14,AJ Styles,SmackDown,/15
Horizontal Autographed Memorabilia,19,Akam,Raw,/25
Horizontal Autographed Memorabilia Amethyst,19,Akam,Raw,/8
Horizontal Autographed Memorabilia Bronze FOTL,19,Akam,Raw,/3
Horizontal Autographed Memorabilia Emerald,19,Akam,Raw,/5
Horizontal Autographed Memorabilia Gold,19,Akam,Raw,/10
Horizontal Autographed Memorabilia Platinum,19,Akam,Raw,1/1
Horizontal Autographed Memorabilia Ruby,19,Akam,Raw,/15
Base,49,Alexa Bliss,WWE,/25
Base Amethyst,49,Alexa Bliss,WWE,/8
Base Emerald,49,Alexa Bliss,WWE,/5
Base Gold,49,Alexa Bliss,WWE,/10
Base Platinum,49,Alexa Bliss,WWE,1/1
Base Ruby,49,Alexa Bliss,WWE,/15
Flawless Achievements,10,Alexa Bliss,WWE,/25
Flawless Achievements Amethyst,10,Alexa Bliss,WWE,/8
Flawless Achievements Emerald,10,Alexa Bliss,WWE,/5
Flawless Achievements Gold,10,Alexa Bliss,WWE,/10
Flawless Achievements Platinum,10,Alexa Bliss,WWE,1/1
Flawless Achievements Ruby,10,Alexa Bliss,WWE,/15
Flawless Achievements Sapphire,10,Alexa Bliss,WWE,/20
Flawless Finishing Moves,19,Alexa Bliss,WWE,/25
Flawless Finishing Moves Amethyst,19,Alexa Bliss,WWE,/8
Flawless Finishing Moves Emerald,19,Alexa Bliss,WWE,/5
Flawless Finishing Moves Gold,19,Alexa Bliss,WWE,/10
Flawless Finishing Moves Platinum,19,Alexa Bliss,WWE,1/1
Flawless Finishing Moves Ruby,19,Alexa Bliss,WWE,/15
Flawless Finishing Moves Sapphire,19,Alexa Bliss,WWE,/20
Flawless Patch Autographs,5,Alexa Bliss,WWE,/25
Flawless Patch Autographs Amethyst,5,Alexa Bliss,WWE,/8
Flawless Patch Autographs Emerald,5,Alexa Bliss,WWE,/5
Flawless Patch Autographs Gold,5,Alexa Bliss,WWE,/10
Flawless Patch Autographs Platinum,5,Alexa Bliss,WWE,1/1
Flawless Patch Autographs Ruby,5,Alexa Bliss,WWE,/15
Horizontal Autographed Memorabilia,29,Alexa Bliss,WWE,/25
Horizontal Autographed Memorabilia Amethyst,29,Alexa Bliss,WWE,/8
Horizontal Autographed Memorabilia Bronze FOTL,29,Alexa Bliss,WWE,/3
Horizontal Autographed Memorabilia Emerald,29,Alexa Bliss,WWE,/5
Horizontal Autographed Memorabilia Gold,29,Alexa Bliss,WWE,/10
Horizontal Autographed Memorabilia Platinum,29,Alexa Bliss,WWE,1/1
Horizontal Autographed Memorabilia Ruby,29,Alexa Bliss,WWE,/15
Jumbo Memorabilia,23,Alexa Bliss,WWE,/15
Jumbo Memorabilia Amethyst,23,Alexa Bliss,WWE,/8
Jumbo Memorabilia Emerald,23,Alexa Bliss,WWE,/5
Jumbo Memorabilia Gold,23,Alexa Bliss,WWE,/10
Jumbo Memorabilia Platinum,23,Alexa Bliss,WWE,1/1
Signature Prime Materials,35,Alexa Bliss,WWE,/25
Signature Prime Materials Amethyst,35,Alexa Bliss,WWE,/8
Signature Prime Materials Emerald,35,Alexa Bliss,WWE,/5
Signature Prime Materials Gold,35,Alexa Bliss,WWE,/10
Signature Prime Materials Platinum,35,Alexa Bliss,WWE,1/1
Signature Prime Materials Ruby,35,Alexa Bliss,WWE,/15
WWE Logo Gems,13,Alexa Bliss,WWE,1/1
Base Legends,52,Alundra Blayze,Legend,/25
Base Legends Amethyst,52,Alundra Blayze,Legend,/8
Base Legends Emerald,52,Alundra Blayze,Legend,/5
Base Legends Gold,52,Alundra Blayze,Legend,/10
Base Legends Platinum,52,Alundra Blayze,Legend,1/1
Base Legends Ruby,52,Alundra Blayze,Legend,/15
Flawless Patch Autographs,13,Andrade,SmackDown,/25
Flawless Patch Autographs Amethyst,13,Andrade,SmackDown,/8
Flawless Patch Autographs Emerald,13,Andrade,SmackDown,/5
Flawless Patch Autographs Gold,13,Andrade,SmackDown,/10
Flawless Patch Autographs Ruby,13,Andrade,SmackDown,/15
Flawless Performances,28,Andrade,SmackDown,/25
Flawless Performances Amethyst,28,Andrade,SmackDown,/8
Flawless Performances Emerald,28,Andrade,SmackDown,/5
Flawless Performances Gold,28,Andrade,SmackDown,/10
Flawless Performances Platinum,28,Andrade,SmackDown,1/1
Flawless Performances Ruby,28,Andrade,SmackDown,/15
Flawless Performances Sapphire,28,Andrade,SmackDown,/20
Vertical Autographed Memorabilia,24,Andre Chase,NXT,/25
Vertical Autographed Memorabilia Amethyst,24,Andre Chase,NXT,/8
Vertical Autographed Memorabilia Bronze FOTL,24,Andre Chase,NXT,/3
Vertical Autographed Memorabilia Emerald,24,Andre Chase,NXT,/5
Vertical Autographed Memorabilia Gold,24,Andre Chase,NXT,/10
Vertical Autographed Memorabilia Platinum,24,Andre Chase,NXT,1/1
Vertical Autographed Memorabilia Ruby,24,Andre Chase,NXT,/15
Horizontal Autographed Memorabilia,39,Angelo Dawkins,SmackDown,/25
Horizontal Autographed Memorabilia Amethyst,39,Angelo Dawkins,SmackDown,/8
Horizontal Autographed Memorabilia Bronze FOTL,39,Angelo Dawkins,SmackDown,/3
Horizontal Autographed Memorabilia Emerald,39,Angelo Dawkins,SmackDown,/5
Horizontal Autographed Memorabilia Gold,39,Angelo Dawkins,SmackDown,/10
Horizontal Autographed Memorabilia Platinum,39,Angelo Dawkins,SmackDown,1/1
Horizontal Autographed Memorabilia Ruby,39,Angelo Dawkins,SmackDown,/15
Signature Prime Materials,7,Angelo Dawkins,SmackDown,/25
Signature Prime Materials Amethyst,7,Angelo Dawkins,SmackDown,/8
Signature Prime Materials Emerald,7,Angelo Dawkins,SmackDown,/5
Signature Prime Materials Gold,7,Angelo Dawkins,SmackDown,/10
Signature Prime Materials Platinum,7,Angelo Dawkins,SmackDown,1/1
Signature Prime Materials Ruby,7,Angelo Dawkins,SmackDown,/15
Smackdown Logo Gems,17,Angelo Dawkins,SmackDown,1/1
Horizontal Autographed Memorabilia,49,Arianna Grace,NXT,/25
Horizontal Autographed Memorabilia Amethyst,49,Arianna Grace,NXT,/8
Horizontal Autographed Memorabilia Bronze FOTL,49,Arianna Grace,NXT,/3
Horizontal Autographed Memorabilia Emerald,49,Arianna Grace,NXT,/5
Horizontal Autographed Memorabilia Gold,49,Arianna Grace,NXT,/10
Horizontal Autographed Memorabilia Platinum,49,Arianna Grace,NXT,1/1
Horizontal Autographed Memorabilia Ruby,49,Arianna Grace,NXT,/15
Base,26,Asuka,Raw,/25
Base Amethyst,26,Asuka,Raw,/8
Base Emerald,26,Asuka,Raw,/5
Base Gold,26,Asuka,Raw,/10
Base Platinum,26,Asuka,Raw,1/1
Base Ruby,26,Asuka,Raw,/15
Flawless Achievements,30,Asuka,Raw,/15
Flawless Achievements Amethyst,30,Asuka,Raw,/8
Flawless Achievements Emerald,30,Asuka,Raw,/5
Flawless Achievements Gold,30,Asuka,Raw,/10
Flawless Achievements Platinum,30,Asuka,Raw,1/1
Flawless Finishing Moves,7,Asuka,Raw,/15
Flawless Finishing Moves Amethyst,7,Asuka,Raw,/8
Flawless Finishing Moves Emerald,7,Asuka,Raw,/5
Flawless Finishing Moves Gold,7,Asuka,Raw,/10
